2025-04-24,temperature,Yearly Trends,2020,23.133333333333336
2025-04-24,temperature,Yearly Trends,2021,24.2
2025-04-24,temperature,Seasonal Comparison,Spring,"{'mean': 21.3, 'min': 21.3, 'max': 21.3}"
2025-04-24,temperature,Seasonal Comparison,Summer,"{'mean': 24.6, 'min': 23.5, 'max': 26.2}"
2025-04-24,temperature,Seasonal Comparison,Winter,"{'mean': 18.7, 'min': 18.7, 'max': 18.7}"
2025-04-24,temperature,Future Predictions,2021,25.26666666666665
2025-04-24,temperature,Future Predictions,2022,26.333333333333314
2025-04-24,temperature,Yearly Trends,2020,23.133333333333336
2025-04-24,temperature,Yearly Trends,2021,24.2
2025-04-24,temperature,Seasonal Comparison,Spring,"{'mean': 21.3, 'min': 21.3, 'max': 21.3}"
2025-04-24,temperature,Seasonal Comparison,Summer,"{'mean': 24.6, 'min': 23.5, 'max': 26.2}"
2025-04-24,temperature,Seasonal Comparison,Winter,"{'mean': 18.7, 'min': 18.7, 'max': 18.7}"
2025-04-24,temperature,Future Predictions,2021,25.26666666666665
2025-04-24,temperature,Future Predictions,2022,26.333333333333314
2025-04-24,temperature,Yearly Trends,2020,23.133333333333336
2025-04-24,temperature,Yearly Trends,2021,24.2
2025-04-24,temperature,Seasonal Comparison,Spring,"{'mean': 21.3, 'min': 21.3, 'max': 21.3}"
2025-04-24,temperature,Seasonal Comparison,Summer,"{'mean': 24.6, 'min': 23.5, 'max': 26.2}"
2025-04-24,temperature,Seasonal Comparison,Winter,"{'mean': 18.7, 'min': 18.7, 'max': 18.7}"
2025-04-24,temperature,Future Predictions,2021,25.26666666666665
2025-04-24,temperature,Future Predictions,2022,26.333333333333314
